Bus Route Number,Source Location,Destination Location,Type of Bus,Time
52B,Salem,Tiruvallur,Non-AC,06:27
41D,Salem,Perambalur,AC,23:31
94A,Krishnagiri,Hosur,Government,08:53
71A,Cuddalore,Tirunelveli,Express,02:29
84C,Ariyalur,Vellore,Non-AC,08:56
32D,Virudhunagar,Thoothukudi,AC,05:40
6D,Krishnagiri,Tiruvallur,AC,01:08
73A,Thanjavur,Tiruppur,Non-AC,21:39
40B,Dindigul,Thoothukudi,Non-AC,05:01
23B,Erode,Nagercoil,Government,18:10
83D,Tiruchirappalli,Dharmapuri,Non-AC,11:50
24C,Chennai,Krishnagiri,Government,01:27
24C,Thoothukudi,Karur,AC,23:40
24C,Coimbatore,Vellore,AC,20:59
58B,Tiruvannamalai,Nagapattinam,Government,09:24
83B,Dindigul,Nagapattinam,Private,13:50
87C,Coimbatore,Karur,Non-AC,23:47
71C,Thoothukudi,Nagapattinam,Government,06:20
32C,Tiruvallur,Dindigul,AC,02:30
49A,Sivakasi,Tiruchirappalli,Government,13:24
82D,Tiruchirappalli,Sivakasi,Express,22:35
41D,Thanjavur,Nagapattinam,Express,18:03
64B,Tiruvallur,Cuddalore,Express,18:52
70A,Perambalur,Thanjavur,Non-AC,16:32
8A,Tirunelveli,Tiruvallur,AC,19:38
11C,Tiruchirappalli,Tiruppur,Non-AC,12:44
88D,Tiruchirappalli,Hosur,Non-AC,20:36
17C,Nagercoil,Coimbatore,Private,11:35
65C,Tiruppur,Ramanathapuram,Non-AC,14:21
65A,Ariyalur,Madurai,Government,15:40
72B,Hosur,Erode,Government,05:32
70B,Hosur,Thoothukudi,Express,04:19
2B,Nagapattinam,Namakkal,Private,06:04
6C,Karur,Virudhunagar,Private,12:19
3C,Krishnagiri,Thoothukudi,AC,05:40
85A,Nagercoil,Tiruvallur,Express,15:54
74C,Hosur,Cuddalore,AC,16:44
33D,Krishnagiri,Nagapattinam,Private,01:09
17D,Erode,Ariyalur,Government,10:19
71D,Salem,Nagercoil,Express,07:29
27B,Dindigul,Coimbatore,Express,03:14
32A,Tirunelveli,Pudukkottai,Private,11:27
83B,Perambalur,Vellore,AC,00:04
11A,Vellore,Ramanathapuram,Express,16:05
96D,Erode,Virudhunagar,Non-AC,02:30
96C,Erode,Tiruchirappalli,AC,16:09
40C,Dharmapuri,Tiruchirappalli,Government,01:11
12A,Tiruvallur,Kanchipuram,Private,19:57
35A,Chennai,Tiruvallur,Non-AC,00:27
3D,Karur,Namakkal,Government,14:12
75B,Kanchipuram,Tiruvallur,Private,17:56
91B,Sivakasi,Ariyalur,Government,21:37
62D,Nagercoil,Cuddalore,Express,09:48
57D,Vellore,Thanjavur,Non-AC,04:04
98A,Dindigul,Ramanathapuram,Government,13:50
47D,Perambalur,Sivakasi,Private,14:10
39D,Kanchipuram,Virudhunagar,Non-AC,16:17
81A,Dindigul,Dharmapuri,Non-AC,21:11
25B,Nagapattinam,Kanchipuram,Express,03:03
55C,Madurai,Perambalur,Express,16:56
91A,Coimbatore,Perambalur,Government,03:47
98C,Vellore,Perambalur,Non-AC,03:23
26B,Erode,Tiruvallur,AC,08:18
3B,Chennai,Virudhunagar,Non-AC,15:46
70B,Tiruvannamalai,Namakkal,Express,07:58
9B,Sivakasi,Chennai,AC,13:04
11C,Erode,Dindigul,Private,23:15
14B,Chennai,Pudukkottai,Non-AC,16:25
5B,Chennai,Thanjavur,Private,09:20
73D,Tiruvallur,Kanchipuram,Private,07:45
76C,Erode,Tiruvannamalai,Private,06:59
17B,Chennai,Ramanathapuram,AC,04:23
84D,Cuddalore,Virudhunagar,Government,12:55
1A,Perambalur,Vellore,Private,14:23
83C,Hosur,Madurai,Government,22:06
53C,Thoothukudi,Karur,AC,16:13
49D,Nagapattinam,Ariyalur,Government,14:19
4A,Thoothukudi,Nagapattinam,Private,10:57
41C,Dharmapuri,Coimbatore,Private,03:59
38C,Tiruchirappalli,Tiruvannamalai,Non-AC,00:09
69C,Madurai,Dharmapuri,Express,22:23
50D,Pudukkottai,Salem,Private,15:53
53B,Tiruvannamalai,Ramanathapuram,AC,22:44
78B,Sivakasi,Namakkal,Private,07:59
4A,Kanchipuram,Tiruvallur,Government,12:12
49D,Sivakasi,Madurai,Private,21:10
70B,Karur,Nagapattinam,Private,00:38
70C,Thoothukudi,Tirunelveli,Government,06:00
64B,Tiruvannamalai,Nagercoil,AC,06:00
18B,Erode,Karur,Private,07:04
61C,Tiruppur,Coimbatore,AC,16:36
89B,Krishnagiri,Tiruvallur,Express,12:40
64A,Karur,Thanjavur,Private,10:47
94B,Tiruppur,Salem,AC,17:57
50C,Tirunelveli,Tiruchirappalli,Express,21:38
24A,Hosur,Sivakasi,Government,08:47
95D,Tirunelveli,Tiruvannamalai,AC,02:51
47B,Ramanathapuram,Nagapattinam,Non-AC,15:07
24B,Dharmapuri,Tiruvannamalai,Express,17:28
85D,Tiruchirappalli,Ramanathapuram,Government,16:24
20C,Vellore,Dharmapuri,Government,13:43
66C,Thoothukudi,Ariyalur,Express,15:57
4A,Dindigul,Karur,AC,15:22
16D,Nagercoil,Tiruchirappalli,Private,23:25
38A,Thanjavur,Tiruvallur,Government,03:31
76B,Pudukkottai,Dharmapuri,Non-AC,18:03
63B,Karur,Madurai,Express,19:35
18D,Nagercoil,Hosur,AC,15:59
32D,Dindigul,Dharmapuri,Government,15:02
74D,Thoothukudi,Coimbatore,Government,14:11
81C,Tiruppur,Dharmapuri,Private,23:12
26A,Tirunelveli,Chennai,AC,13:22
63D,Krishnagiri,Tiruvannamalai,AC,02:05
78B,Erode,Namakkal,Express,07:33
90B,Tiruppur,Dindigul,Non-AC,04:07
7B,Madurai,Tirunelveli,Non-AC,10:16
41D,Salem,Thoothukudi,Private,01:56
5B,Ariyalur,Vellore,Express,22:59
73A,Sivakasi,Kanchipuram,Government,07:25
80C,Ramanathapuram,Tiruvannamalai,AC,10:24
17D,Tiruvallur,Dindigul,AC,03:15
95D,Tiruppur,Dindigul,Government,03:04
13A,Erode,Karur,Private,05:32
71D,Thoothukudi,Cuddalore,Express,10:20
84A,Perambalur,Coimbatore,Non-AC,14:35
24B,Chennai,Thoothukudi,AC,01:54
82D,Ariyalur,Nagercoil,Express,04:17
54C,Hosur,Dharmapuri,AC,22:40
52A,Krishnagiri,Thanjavur,Government,04:14
50A,Hosur,Nagapattinam,Government,06:25
90C,Karur,Vellore,AC,13:58
61D,Cuddalore,Nagercoil,Private,06:19
29C,Ariyalur,Namakkal,Non-AC,19:06
87A,Thanjavur,Dharmapuri,Non-AC,02:41
91A,Nagapattinam,Namakkal,Non-AC,18:24
87D,Nagercoil,Cuddalore,AC,20:06
83A,Coimbatore,Cuddalore,AC,02:01
67C,Karur,Tirunelveli,Private,02:52
73C,Hosur,Thanjavur,Express,07:41
42B,Karur,Thanjavur,Express,03:27
64A,Tiruppur,Chennai,Government,11:55
24C,Tiruchirappalli,Krishnagiri,Non-AC,02:11
31C,Nagapattinam,Tirunelveli,Government,11:06
36A,Tiruvallur,Thanjavur,Government,21:08
73A,Tiruppur,Ramanathapuram,Express,20:27
79A,Tiruppur,Thoothukudi,Private,20:00
44C,Ariyalur,Sivakasi,Non-AC,02:33
36D,Namakkal,Erode,Private,00:12
75B,Tiruvallur,Madurai,Non-AC,18:25
92C,Salem,Dindigul,Government,11:42
99C,Thanjavur,Karur,AC,05:44
66C,Sivakasi,Erode,Government,07:18
54C,Kanchipuram,Thanjavur,Non-AC,09:20
18A,Nagercoil,Dindigul,Government,07:04
90B,Sivakasi,Hosur,AC,00:31
4A,Nagapattinam,Ariyalur,Private,03:40
43C,Chennai,Nagercoil,Government,17:24
81B,Hosur,Tiruppur,Private,11:41
88A,Thanjavur,Virudhunagar,Express,05:16
84C,Tiruppur,Tiruvannamalai,AC,22:11
54D,Thoothukudi,Tiruchirappalli,Government,16:49
66D,Namakkal,Tirunelveli,Private,22:39
44D,Tiruvallur,Salem,Government,18:49
38C,Virudhunagar,Tiruchirappalli,Express,16:44
54B,Coimbatore,Karur,Government,09:48
80C,Thanjavur,Cuddalore,Non-AC,21:34
83C,Madurai,Perambalur,Government,03:05
5B,Dharmapuri,Chennai,AC,20:16
52C,Pudukkottai,Salem,AC,23:30
45C,Ramanathapuram,Nagapattinam,Express,09:15
27B,Tiruvallur,Virudhunagar,Non-AC,08:34
64D,Tiruchirappalli,Dindigul,Non-AC,12:22
77C,Karur,Thoothukudi,Express,04:23
38D,Sivakasi,Karur,Express,16:07
59D,Nagercoil,Vellore,Government,11:40
80D,Ramanathapuram,Erode,Private,05:48
48B,Nagapattinam,Hosur,AC,19:57
80B,Ramanathapuram,Madurai,Express,10:19
23B,Pudukkottai,Nagapattinam,AC,10:21
69D,Virudhunagar,Ariyalur,Government,05:20
8A,Ramanathapuram,Tiruvallur,Private,18:39
30D,Pudukkottai,Thoothukudi,Express,15:26
3A,Karur,Erode,Government,18:51
83D,Dindigul,Chennai,Government,08:49
37D,Namakkal,Kanchipuram,Express,00:22
38D,Thanjavur,Madurai,Government,09:06
53D,Perambalur,Erode,Non-AC,01:19
65D,Sivakasi,Kanchipuram,Private,04:13
9B,Dharmapuri,Namakkal,Government,06:34
51D,Chennai,Nagercoil,Private,08:18
97D,Cuddalore,Ramanathapuram,Private,10:01
85B,Kanchipuram,Virudhunagar,Private,01:03
25A,Pudukkottai,Krishnagiri,Non-AC,13:22
70D,Nagapattinam,Thoothukudi,Express,09:50
85B,Madurai,Tiruchirappalli,Non-AC,14:47
12A,Dharmapuri,Tiruvallur,Private,12:22
14A,Virudhunagar,Ariyalur,Express,13:10
2A,Cuddalore,Thoothukudi,Express,11:30
74C,Krishnagiri,Salem,Private,03:44
13D,Pudukkottai,Sivakasi,Non-AC,18:12
28D,Chennai,Tirunelveli,Express,20:53
88A,Kanchipuram,Thoothukudi,AC,23:00
59D,Nagercoil,Tiruvallur,Express,08:45
9D,Vellore,Kanchipuram,Express,16:00
63C,Thoothukudi,Coimbatore,Express,07:01
32D,Perambalur,Dindigul,Express,19:25
33B,Thoothukudi,Madurai,Government,20:04
74A,Chennai,Nagapattinam,Government,00:21
40A,Tiruvannamalai,Krishnagiri,Express,07:56
11D,Dindigul,Namakkal,Private,09:48
77C,Tiruppur,Ariyalur,Government,20:17
45D,Ariyalur,Tiruvallur,Government,10:04
45B,Dharmapuri,Krishnagiri,AC,01:22
26D,Tiruvannamalai,Erode,Express,20:52
90A,Salem,Nagapattinam,Express,15:06
46D,Tiruchirappalli,Tiruvallur,Government,03:25
41D,Tiruvallur,Karur,Non-AC,17:39
92A,Madurai,Nagercoil,AC,14:02
34C,Tiruppur,Dharmapuri,Non-AC,20:34
10A,Cuddalore,Kanchipuram,AC,09:43
5D,Tirunelveli,Nagapattinam,AC,06:20
83B,Cuddalore,Ramanathapuram,AC,23:06
19D,Karur,Virudhunagar,Express,13:41
39D,Nagapattinam,Tiruvannamalai,Non-AC,06:09
29D,Tiruvannamalai,Madurai,Non-AC,16:10
58B,Ariyalur,Karur,AC,00:19
34B,Salem,Chennai,AC,21:35
42B,Perambalur,Namakkal,Private,06:05
22B,Vellore,Thanjavur,Express,06:47
84A,Kanchipuram,Dharmapuri,Government,05:02
2D,Hosur,Thoothukudi,Express,19:21
62D,Tirunelveli,Tiruvallur,AC,04:35
15B,Cuddalore,Tiruchirappalli,Non-AC,06:09
34D,Hosur,Krishnagiri,Private,13:12
39A,Namakkal,Hosur,Non-AC,16:12
88A,Kanchipuram,Coimbatore,Government,10:20
79B,Virudhunagar,Coimbatore,Government,14:21
44A,Tiruvallur,Thoothukudi,Non-AC,06:20
13A,Dharmapuri,Thanjavur,AC,05:16
44A,Cuddalore,Perambalur,Private,12:15
30D,Chennai,Nagapattinam,Government,15:46
64B,Tiruchirappalli,Karur,Government,02:04
50D,Nagercoil,Ramanathapuram,Non-AC,15:40
21D,Vellore,Tiruppur,Non-AC,22:23
89B,Tiruchirappalli,Salem,Express,20:47
97D,Cuddalore,Pudukkottai,Non-AC,07:54
61D,Sivakasi,Ramanathapuram,Non-AC,07:54
19A,Virudhunagar,Coimbatore,Express,05:50
55C,Tiruchirappalli,Kanchipuram,Government,19:23
63D,Pudukkottai,Nagercoil,Non-AC,16:22
31A,Cuddalore,Dindigul,Government,09:58
3D,Tiruppur,Namakkal,Non-AC,05:11
65C,Coimbatore,Tirunelveli,Government,00:32
97C,Vellore,Tirunelveli,Private,19:21
86A,Coimbatore,Tirunelveli,AC,01:26
48B,Krishnagiri,Dharmapuri,Non-AC,05:54
41A,Sivakasi,Nagapattinam,Private,03:20
70B,Tiruchirappalli,Thanjavur,AC,22:44
86C,Ramanathapuram,Pudukkottai,Express,19:37
56B,Tiruchirappalli,Dindigul,Express,05:47
72D,Dharmapuri,Dindigul,Express,13:27
75A,Tiruppur,Ariyalur,AC,04:50
19D,Tiruppur,Tiruchirappalli,AC,19:50
73D,Dindigul,Hosur,Government,12:00
36C,Kanchipuram,Ramanathapuram,Private,09:22
66B,Tiruvallur,Perambalur,Private,08:45
62A,Namakkal,Tiruvannamalai,Non-AC,08:41
47A,Krishnagiri,Ramanathapuram,Private,16:07
33D,Nagercoil,Ramanathapuram,AC,07:47
19B,Dharmapuri,Tirunelveli,Government,01:36
14D,Krishnagiri,Tiruvannamalai,Express,13:09
88D,Ramanathapuram,Erode,Government,06:09
33C,Cuddalore,Erode,Non-AC,21:46
74A,Thoothukudi,Tiruvallur,Non-AC,11:18
59A,Thanjavur,Madurai,Government,08:47
70D,Dindigul,Krishnagiri,Non-AC,17:58
19D,Karur,Thanjavur,AC,02:14
66B,Erode,Karur,AC,03:10
26A,Sivakasi,Thoothukudi,AC,03:17
75A,Kanchipuram,Tirunelveli,Private,02:38
58D,Karur,Ramanathapuram,Government,17:28
93C,Chennai,Karur,AC,13:10
49B,Krishnagiri,Nagapattinam,Private,10:06
87B,Namakkal,Krishnagiri,Non-AC,18:03
81B,Nagapattinam,Salem,Private,09:38
17A,Virudhunagar,Ramanathapuram,Non-AC,22:09
81A,Pudukkottai,Virudhunagar,Government,11:55
29B,Sivakasi,Nagapattinam,AC,13:27
45A,Virudhunagar,Erode,Government,08:07
8B,Pudukkottai,Hosur,Private,06:56
57A,Ariyalur,Namakkal,Private,10:03
55A,Kanchipuram,Namakkal,Express,17:54
47B,Hosur,Coimbatore,Express,22:42
80A,Namakkal,Perambalur,Express,16:21
74A,Virudhunagar,Chennai,Private,14:41
18A,Sivakasi,Ramanathapuram,Private,06:17
26D,Dindigul,Cuddalore,Private,21:19
78D,Namakkal,Salem,Government,13:54
3D,Dharmapuri,Tirunelveli,Non-AC,10:49
12B,Erode,Virudhunagar,AC,03:58
81C,Thanjavur,Coimbatore,AC,10:36
11A,Tiruppur,Thoothukudi,Government,08:11
40C,Salem,Thanjavur,AC,10:15
59B,Thanjavur,Krishnagiri,AC,14:36
93B,Erode,Thanjavur,Private,01:28
24A,Madurai,Virudhunagar,AC,13:59
18B,Dharmapuri,Ariyalur,Express,23:21
23A,Nagapattinam,Coimbatore,Non-AC,06:58
32D,Ariyalur,Karur,Government,21:58
23B,Vellore,Dharmapuri,Private,12:23
79D,Nagapattinam,Tirunelveli,Government,16:39
33A,Kanchipuram,Erode,Express,10:07
37A,Erode,Kanchipuram,AC,08:56
35C,Perambalur,Salem,Express,14:44
16B,Salem,Thoothukudi,Non-AC,11:44
18A,Thanjavur,Karur,Non-AC,22:27
97B,Ariyalur,Coimbatore,Private,10:16
65A,Nagercoil,Ramanathapuram,Non-AC,17:11
64B,Thanjavur,Dindigul,Government,13:36
71B,Salem,Ramanathapuram,AC,17:00
2A,Ramanathapuram,Madurai,Private,01:06
51C,Thoothukudi,Nagercoil,Non-AC,16:00
99B,Kanchipuram,Thanjavur,Government,01:58
87A,Vellore,Hosur,Express,13:05
17C,Salem,Erode,Government,09:45
7C,Erode,Cuddalore,Government,16:07
40D,Nagapattinam,Tiruppur,Private,05:41
3D,Hosur,Nagercoil,Private,01:54
45B,Ramanathapuram,Cuddalore,Government,14:24
36D,Tirunelveli,Ariyalur,AC,00:37
10B,Karur,Cuddalore,Express,02:28
24A,Kanchipuram,Krishnagiri,Non-AC,15:27
78D,Chennai,Tiruppur,Government,23:09
50D,Dindigul,Ramanathapuram,Express,17:05
7B,Coimbatore,Kanchipuram,Private,12:44
37C,Tiruvallur,Kanchipuram,Private,03:12
62C,Tiruvannamalai,Ariyalur,Private,05:24
89B,Thanjavur,Tiruppur,Express,09:57
5B,Tiruvallur,Salem,Non-AC,00:18
37A,Nagercoil,Dindigul,AC,01:38
15D,Cuddalore,Tiruvannamalai,Private,22:53
4D,Sivakasi,Tiruchirappalli,AC,08:13
38A,Tiruvallur,Ariyalur,Government,13:11
72A,Tiruchirappalli,Tiruppur,Government,16:07
63A,Coimbatore,Tiruchirappalli,AC,09:34
43B,Salem,Tiruppur,Express,07:07
32D,Sivakasi,Karur,Government,09:38
32C,Nagercoil,Kanchipuram,Non-AC,23:28
22D,Thanjavur,Dharmapuri,Government,18:48
83B,Sivakasi,Ariyalur,Express,17:34
81A,Thoothukudi,Cuddalore,Express,21:25
56C,Vellore,Tirunelveli,AC,14:03
79B,Kanchipuram,Thanjavur,Private,22:36
58D,Namakkal,Nagapattinam,Private,19:55
45A,Krishnagiri,Salem,AC,21:53
29D,Thoothukudi,Tiruvannamalai,Express,03:23
7A,Krishnagiri,Tiruchirappalli,AC,05:43
3A,Cuddalore,Thanjavur,Non-AC,14:54
42A,Hosur,Salem,AC,13:13
60C,Kanchipuram,Thoothukudi,Private,21:27
33A,Ariyalur,Hosur,Non-AC,17:30
85C,Coimbatore,Chennai,Government,00:19
32B,Tiruvannamalai,Nagapattinam,Express,10:09
80B,Vellore,Salem,Private,13:52
12C,Sivakasi,Erode,Private,23:36
91C,Tiruvannamalai,Tirunelveli,AC,21:16
53A,Kanchipuram,Hosur,Non-AC,09:46
55C,Erode,Coimbatore,Government,13:06
55B,Salem,Tiruchirappalli,Non-AC,02:51
60B,Erode,Tiruvallur,Government,05:09
82D,Ariyalur,Salem,Private,11:29
92B,Hosur,Ariyalur,Private,23:52
50B,Salem,Tiruppur,Government,19:30
30A,Namakkal,Thoothukudi,Non-AC,11:25
74D,Coimbatore,Tirunelveli,Private,18:16
88A,Dharmapuri,Tiruvallur,Non-AC,14:40
31B,Erode,Perambalur,Government,23:33
81B,Chennai,Ramanathapuram,Government,03:50
68D,Perambalur,Dindigul,Non-AC,10:10
52B,Cuddalore,Kanchipuram,Express,03:57
33B,Nagapattinam,Madurai,Non-AC,01:07
18D,Sivakasi,Nagercoil,Express,19:33
96D,Namakkal,Nagapattinam,Government,17:45
61A,Thanjavur,Madurai,Express,21:12
60B,Nagapattinam,Namakkal,AC,00:17
71B,Tirunelveli,Sivakasi,Government,04:28
48B,Coimbatore,Madurai,Express,10:15
80A,Karur,Dharmapuri,Government,01:53
8B,Hosur,Tiruvallur,AC,19:47
68A,Madurai,Sivakasi,Private,02:28
98B,Nagapattinam,Karur,Private,09:51
6A,Kanchipuram,Cuddalore,AC,00:46
74A,Dindigul,Chennai,Government,11:05
70B,Chennai,Namakkal,Express,12:52
52C,Hosur,Dindigul,Non-AC,10:50
55A,Tiruppur,Thoothukudi,Express,11:32
25D,Dindigul,Perambalur,Non-AC,12:26
42C,Tiruvannamalai,Tiruchirappalli,AC,05:28
66C,Nagercoil,Cuddalore,AC,14:55
84A,Tiruchirappalli,Virudhunagar,Government,06:04
73D,Dharmapuri,Tiruchirappalli,Government,07:55
61D,Tiruvallur,Salem,Private,10:12
46B,Ramanathapuram,Tiruchirappalli,Non-AC,20:40
55A,Namakkal,Kanchipuram,AC,03:20
86C,Tiruvallur,Madurai,Private,05:30
1D,Tiruchirappalli,Salem,Express,10:54
17B,Hosur,Nagercoil,Non-AC,00:05
60C,Dharmapuri,Erode,Express,15:50
40D,Kanchipuram,Namakkal,Non-AC,00:31
11C,Kanchipuram,Sivakasi,Government,19:57
68D,Vellore,Cuddalore,Government,10:28
53C,Thanjavur,Tiruvallur,Non-AC,14:41
56D,Ariyalur,Ramanathapuram,Government,04:46
8C,Tiruchirappalli,Namakkal,Government,07:04
5D,Virudhunagar,Pudukkottai,Non-AC,21:27
91A,Salem,Pudukkottai,AC,12:13
37B,Namakkal,Tiruchirappalli,Private,18:47
86D,Madurai,Tiruvannamalai,Express,22:54
7D,Tiruchirappalli,Vellore,AC,06:56
37A,Tiruvannamalai,Tiruppur,Express,17:06
19B,Thanjavur,Thoothukudi,Private,04:40
93A,Thoothukudi,Karur,Private,23:31
91A,Cuddalore,Namakkal,Non-AC,19:37
76D,Pudukkottai,Dharmapuri,Non-AC,04:30
42B,Dindigul,Sivakasi,Government,09:46
53D,Salem,Dharmapuri,Government,00:47
10D,Tirunelveli,Hosur,Non-AC,07:14
34C,Vellore,Chennai,Private,06:00
96B,Karur,Dharmapuri,Express,05:21
60A,Karur,Cuddalore,Government,23:40
84B,Hosur,Dharmapuri,Government,16:47
31D,Krishnagiri,Kanchipuram,Non-AC,23:29
63D,Erode,Perambalur,Non-AC,14:26
41C,Ariyalur,Cuddalore,Government,14:46
65A,Kanchipuram,Vellore,Express,16:11
43D,Tiruvannamalai,Dharmapuri,Government,09:19
77D,Madurai,Dharmapuri,Non-AC,07:32
31B,Thoothukudi,Vellore,Government,23:57
33A,Kanchipuram,Ariyalur,AC,17:12
8C,Tiruchirappalli,Sivakasi,Express,14:48
25C,Pudukkottai,Perambalur,Non-AC,07:22
41B,Namakkal,Tirunelveli,Private,10:45
7C,Sivakasi,Thanjavur,Non-AC,16:25
11A,Tiruchirappalli,Sivakasi,Non-AC,02:51
68D,Chennai,Madurai,Private,00:07
40C,Tiruvannamalai,Pudukkottai,Express,18:51
24C,Ramanathapuram,Pudukkottai,AC,22:37
17A,Virudhunagar,Pudukkottai,Non-AC,18:29
64D,Virudhunagar,Nagapattinam,Government,00:06
43A,Tiruppur,Ramanathapuram,AC,11:58
53D,Ariyalur,Tiruchirappalli,Private,15:26
4D,Madurai,Hosur,AC,10:31
43D,Tiruppur,Vellore,Government,19:15
73B,Tiruchirappalli,Thanjavur,Private,02:25
70D,Salem,Thoothukudi,Non-AC,11:01
97B,Pudukkottai,Thanjavur,Government,09:39
59C,Kanchipuram,Virudhunagar,Government,01:37
17A,Virudhunagar,Thoothukudi,Non-AC,14:03
27D,Krishnagiri,Sivakasi,Private,11:42
83D,Namakkal,Salem,Private,02:08
8A,Perambalur,Karur,Non-AC,16:18
22B,Madurai,Thanjavur,Private,04:39
66C,Madurai,Tirunelveli,AC,03:56
29C,Ariyalur,Tiruppur,Private,14:53
41C,Cuddalore,Pudukkottai,Private,12:23
16A,Nagercoil,Erode,Non-AC,03:48
2A,Tiruppur,Kanchipuram,Express,22:18
53B,Nagapattinam,Vellore,Express,11:21
93D,Vellore,Virudhunagar,AC,08:41
80C,Coimbatore,Ariyalur,Express,08:57
81A,Tiruchirappalli,Virudhunagar,Government,20:07
21D,Chennai,Dindigul,Express,01:32
76C,Perambalur,Sivakasi,AC,11:28
58C,Karur,Virudhunagar,Non-AC,12:39
25C,Karur,Nagapattinam,Private,21:54
83C,Nagapattinam,Thanjavur,AC,07:17
10C,Ramanathapuram,Salem,Non-AC,16:48
17D,Ariyalur,Tiruvallur,Non-AC,13:18
43D,Kanchipuram,Erode,Government,02:38
2B,Sivakasi,Tirunelveli,Government,09:51
6C,Tiruppur,Tiruvallur,Non-AC,12:41
92D,Thanjavur,Ramanathapuram,Express,06:05
10C,Kanchipuram,Perambalur,Express,20:22
38D,Tiruppur,Tiruchirappalli,Express,13:16
9A,Virudhunagar,Salem,Express,06:05
70B,Nagapattinam,Coimbatore,Private,08:55
14B,Coimbatore,Hosur,Non-AC,06:57
30A,Tiruvannamalai,Tiruvallur,Express,01:41
46B,Tiruvannamalai,Thanjavur,Non-AC,17:46
39C,Hosur,Krishnagiri,Non-AC,12:09
12D,Tiruvannamalai,Thoothukudi,AC,13:01
56B,Sivakasi,Nagercoil,Private,20:35
90A,Hosur,Dharmapuri,Express,16:29
34C,Tiruvallur,Nagapattinam,Government,14:48
7B,Dharmapuri,Thoothukudi,Private,05:29
78A,Coimbatore,Tiruvallur,Express,04:10
34D,Perambalur,Ariyalur,Express,04:32
29C,Dindigul,Virudhunagar,AC,00:13
68D,Ariyalur,Tiruvallur,AC,04:54
49C,Nagercoil,Dharmapuri,Express,23:47
37B,Cuddalore,Virudhunagar,Government,20:10
67B,Pudukkottai,Erode,AC,13:01
98D,Ramanathapuram,Thoothukudi,AC,00:28
54C,Thanjavur,Tiruvallur,Express,14:18
92D,Virudhunagar,Perambalur,Non-AC,00:52
93B,Cuddalore,Coimbatore,Express,22:10
63B,Tirunelveli,Salem,Non-AC,23:05
39B,Erode,Tirunelveli,AC,14:31
21D,Krishnagiri,Dindigul,Non-AC,09:37
6B,Erode,Ramanathapuram,Non-AC,19:46
37C,Tiruvallur,Hosur,Non-AC,09:14
2A,Thoothukudi,Nagapattinam,Express,01:54
4B,Thanjavur,Cuddalore,Express,19:14
62D,Vellore,Perambalur,AC,15:03
33B,Pudukkottai,Thanjavur,Non-AC,18:33
47B,Vellore,Karur,Non-AC,02:37
46A,Tiruppur,Tirunelveli,AC,04:38
32D,Tiruppur,Vellore,AC,10:43
21C,Dharmapuri,Kanchipuram,Non-AC,04:40
5C,Namakkal,Thanjavur,Government,22:44
51C,Hosur,Sivakasi,Government,04:17
60A,Nagercoil,Tiruvannamalai,AC,19:07
54C,Nagapattinam,Coimbatore,Express,01:39
53B,Pudukkottai,Sivakasi,AC,10:30
99B,Ramanathapuram,Tirunelveli,Government,00:12
23B,Pudukkottai,Vellore,Express,16:23
10A,Madurai,Perambalur,Private,19:34
78D,Nagercoil,Tiruvannamalai,Non-AC,04:07
37D,Ariyalur,Nagercoil,AC,04:08
38D,Dharmapuri,Tirunelveli,Government,17:55
68A,Madurai,Tiruvannamalai,Private,18:12
79A,Coimbatore,Madurai,Express,10:08
95B,Ariyalur,Tiruppur,Express,16:24
32D,Perambalur,Thoothukudi,Non-AC,15:28
58A,Sivakasi,Tiruvallur,Express,12:30
34D,Madurai,Nagapattinam,Non-AC,00:48
11C,Krishnagiri,Perambalur,AC,21:23
66D,Krishnagiri,Tiruvallur,Government,21:03
82C,Cuddalore,Thanjavur,AC,17:37
2D,Dharmapuri,Thanjavur,Non-AC,16:45
48B,Nagapattinam,Sivakasi,Government,23:21
68D,Tiruvannamalai,Kanchipuram,Non-AC,09:11
93A,Namakkal,Tiruvallur,Non-AC,15:17
52C,Nagercoil,Tiruppur,Express,04:02
90D,Tiruchirappalli,Dharmapuri,Government,09:31
26D,Nagercoil,Ariyalur,Private,12:21
16B,Karur,Thoothukudi,AC,07:26
97A,Hosur,Erode,Non-AC,08:53
41C,Namakkal,Ramanathapuram,AC,17:41
54A,Krishnagiri,Pudukkottai,AC,02:23
30D,Tiruchirappalli,Ariyalur,Private,10:24
37B,Tiruchirappalli,Pudukkottai,Express,19:24
88C,Thanjavur,Chennai,Government,02:49
56A,Ariyalur,Krishnagiri,Express,03:40
36D,Salem,Dindigul,Express,04:33
37D,Madurai,Cuddalore,Express,08:06
17D,Dindigul,Chennai,Private,16:37
76A,Chennai,Namakkal,AC,05:39
95A,Karur,Thoothukudi,Government,01:21
7C,Ramanathapuram,Kanchipuram,Private,21:08
49D,Chennai,Salem,Government,10:35
12C,Dharmapuri,Erode,Private,13:47
83B,Karur,Sivakasi,AC,08:18
8C,Nagercoil,Kanchipuram,Government,12:32
26C,Sivakasi,Erode,Express,03:16
65D,Hosur,Nagapattinam,Non-AC,01:09
56D,Namakkal,Nagercoil,Government,09:42
71A,Tirunelveli,Nagapattinam,AC,18:13
99B,Tiruvannamalai,Thanjavur,Private,20:46
